video_id,text
63i4ZQcvpcQ,Nayanthara kettiyathin shesham kanunnavar
63i4ZQcvpcQ,00:12 which is that song playing in the background on radio..anyone..?
63i4ZQcvpcQ,2024 july 21n kaanunna njan🥲🥲
63i4ZQcvpcQ,15:57 what she is saying
63i4ZQcvpcQ,😊 ara e script oke ezhuthiye..nice dialogues and presentation
63i4ZQcvpcQ,?? 😜😜
63i4ZQcvpcQ,Jisma kannaan pwoli ayitt ind ee videoyill❤
63i4ZQcvpcQ,19:11 ee dialogue ithilullathayrnno😂
63i4ZQcvpcQ,2024 😂
63i4ZQcvpcQ,12:52 😂
63i4ZQcvpcQ,10:17 😂😂
63i4ZQcvpcQ,The Great .👌👍🤝💐😅
63i4ZQcvpcQ,Pleas like ❤
63i4ZQcvpcQ,Poli school ❤
63i4ZQcvpcQ,Yante mone 🔥🔥
63i4ZQcvpcQ,nayantaarayude marrage nu sesham kaanunavar undoo 🤣😅
63i4ZQcvpcQ,Enik ningale orupaadu ishtamanu ❤
63i4ZQcvpcQ,Last poli😂
63i4ZQcvpcQ,😂😂V😂 sooper oru rekhsayilla parayan illa adipol 😊😊
63i4ZQcvpcQ,19:10 😂🖤
63i4ZQcvpcQ,Yopa.. Ingeru ith nd bavicha😜
63i4ZQcvpcQ,Ente ponno.. Sharan sir😜😜
63i4ZQcvpcQ,Supper jisma&vimal amaizing couples❤❤🎉🎉
63i4ZQcvpcQ,Spr series.. I watched with very excitement😮
63i4ZQcvpcQ,1:50 aa payyante dialogue nice alle😅😅
63i4ZQcvpcQ,.. 👌👌❤❤
63i4ZQcvpcQ,Kuthu vilak sharath Ippo real aa sidharth comail Kudumbavilakk😌
63i4ZQcvpcQ,"Josettanu thayy vende ? Nalla thonda vethana, Njanonnu kidakkatte!!"
63i4ZQcvpcQ,Super 😂❤❤
63i4ZQcvpcQ,jio savan
63i4ZQcvpcQ,Shorts njan kandittu ndu.ethelum filiminte ananna vicharichathu.adyattu kanunnathu . super
63i4ZQcvpcQ,De..ithu njangade naadu alae kanjirmattom ..amballor bhayagathulla busstop..
63i4ZQcvpcQ,Ellarum super super super ❤❤
63i4ZQcvpcQ,Kanan kurachu vaiki poyi. But ellarum poli abinayam. Poli script. Nde lifile kadhayumayi cheriya samyam ind. But njan yadrshikam anu nu thettidarichu..
63i4ZQcvpcQ,Kinnam kidukkachi sadham.
63i4ZQcvpcQ,"So, beautiful guys."
63i4ZQcvpcQ,G.O.A.T
63i4ZQcvpcQ,Powli powlii🥰🥰
63i4ZQcvpcQ,Bro please add subtitles.
63i4ZQcvpcQ,‌ 368 k 🥰🥰
63i4ZQcvpcQ,Randamathe (2) thavanamaann njan.. adhyam joli pinne Kalyanam.. kanunnadhu.. Athrakkumisttanu❤😊
63i4ZQcvpcQ,Ippola kana thodangiye adipili
63i4ZQcvpcQ,nayanthara ketti revathiyum ketti
63i4ZQcvpcQ,"Finally nayantharaum kalyanam kazhichu, jismavimal um kazhichuu"
63i4ZQcvpcQ,‌ athu nadakkilla girls 😂appo pinne adutha i p l rcb maatre kettullu 😅athakumbo 916 urappa😂😂
63i4ZQcvpcQ,4 Episode kandavarundo
63i4ZQcvpcQ,Really enjoyed the series. It will great if add closed captions in English are added so that non Malayalee friends can also enjoy
63i4ZQcvpcQ,Are you planning to add English Subtitles to this?
63i4ZQcvpcQ,Supper ❤️🔥❤️🔥❤️
63i4ZQcvpcQ,Amma polii
63i4ZQcvpcQ,Satheeshettan Revathi orginal aya kalayanm kazhijita 1st thotta kannunna.. njn 🙂🖐🏻
63i4ZQcvpcQ,Nayantharak kutykal aaya shesham. Kaanunna njan😊😊
63i4ZQcvpcQ,Super series💖💖
63i4ZQcvpcQ,Only 4 episodes..beautiful but very disappointing.
63i4ZQcvpcQ,Revathy is soo cute
63i4ZQcvpcQ,Colour grading enikku ishtam akunnilla
63i4ZQcvpcQ,https://youtube.com/shorts/iTkb-uijuj8?feature=share Same song. Ee movie 10 months back vannathanu. Aru areya copy adichathu
63i4ZQcvpcQ,Good short film nostalgia
63i4ZQcvpcQ,What a story what an acting 🥰
63i4ZQcvpcQ,Theerrnnu poyii 🥺🥺
63i4ZQcvpcQ,Super combo..
63i4ZQcvpcQ,Super ❤
63i4ZQcvpcQ,Fort Edmonton X mas #fortedmontonpark #christmasmarkets #winter https://youtu.be/DU2TgH-0p4Q
63i4ZQcvpcQ,Ijisma Chechi nice acting 😍😍
63i4ZQcvpcQ,Ente Husband Name Satheesh Ente Name Revathy 😝 Enthayalum story super 🥰🥰
63i4ZQcvpcQ,Raghu sr 😂😂
63i4ZQcvpcQ,characters couple
63i4ZQcvpcQ,Ee epi nte climax kandu kure chirichu😀😀👌👌
63i4ZQcvpcQ,. . 😂
63i4ZQcvpcQ,..‌ .. 🤭🤭
63i4ZQcvpcQ,Aa pattu kanditta njan ivide vanne a.. kande… odukkathe song❤️❤️❤️
63i4ZQcvpcQ,Premathil anjaliye nokki velamirkkunna vimal alle ithu
63i4ZQcvpcQ,thug S A Z 😅😅
63i4ZQcvpcQ,.. vazhiyaayii🤣🤣
63i4ZQcvpcQ,Sheay kandu onn set ayi varaneyirinnu apo oru Ad vanne..mood poyi
63i4ZQcvpcQ,Dheaa njngalde sthalam kanjiramattom🥰
63i4ZQcvpcQ,Color grading 🥴
63i4ZQcvpcQ,Video sound poraa broii
63i4ZQcvpcQ,thumba poovum pookkum thenmavum Spotifyile upload akkamo🙂
63i4ZQcvpcQ,climax scene😂😂
63i4ZQcvpcQ,1 .😁 . ? ? 👍
63i4ZQcvpcQ,Adipoli ❤️🥰
63i4ZQcvpcQ,cut vimaline
63i4ZQcvpcQ,‌ .. 😂😂
63i4ZQcvpcQ,Ente phoninte preshnano atho ithinte prashnano sound kurav
63i4ZQcvpcQ,Last episode kanditt fullaayi kaanan vanna le njan 😂🚶🏻‍♀️
63i4ZQcvpcQ,Ivar sherikkum aara Bro and sis Hz and wife Ling
63i4ZQcvpcQ,Suspend 😜.. 😂
63i4ZQcvpcQ,Adipoli 😊👍👍
63i4ZQcvpcQ,Meesha ellenkil enta ponno ee chettante look❤️
63i4ZQcvpcQ,Autokaran enthina auto eduthond poyea
63i4ZQcvpcQ,4th episode 😄
63i4ZQcvpcQ,👌🏻👌🏻👌🏻👍🏻👍🏻👍🏻 Thaslima Jahan's Heart Melting Lines.. 🔥Promote💯📲
63i4ZQcvpcQ,Njan duolingo download cheythu but malayalam to english ella
63i4ZQcvpcQ,Next part waiting?
63i4ZQcvpcQ,‌ 🤔🤔
63i4ZQcvpcQ,Wow! Sooper
63i4ZQcvpcQ,Next episode eppol varum
63i4ZQcvpcQ,Nivin paulye poleyund
63i4ZQcvpcQ,Vimal kidu look aanu.. both are acting well
63i4ZQcvpcQ,Nayansum kety😎✨
63i4ZQcvpcQ,""" .. .. 😂😂 🤣🤣"
63i4ZQcvpcQ,Naynthra ketty😂😂
63i4ZQcvpcQ,Adipoli ❤
63i4ZQcvpcQ,Ente officilulla revathi enne kalyaan kazhikkoo..😂🤣🤣Ente ponno power
63i4ZQcvpcQ,Aanattil private outo ano taxi
63i4ZQcvpcQ,"Nayanthara kettii , kuttii ayyii ningade next episode eppallaa Fast akkuu😱"
63i4ZQcvpcQ,"Namichu, Kidu🥰"
63i4ZQcvpcQ,Siju Wilsonte soundnod similarity thonnunnu… My new favorite series ❤
63i4ZQcvpcQ,cute 😍
63i4ZQcvpcQ,ente mwone ijathii 😂😂
63i4ZQcvpcQ,Nayanthara kalyanam kayinj ketto😅😉
63i4ZQcvpcQ,2:17 same avastha😵😵.
63i4ZQcvpcQ,Everyone did justice to their respective characters. Amazed watching the natural acting and the style of story telling❤ Keep going ! All the best !
63i4ZQcvpcQ,"Duolingo is best ,l am proud of that app"
63i4ZQcvpcQ,Last seen😂😂🙌
63i4ZQcvpcQ,Vimaline kanda thelungu actor pawan kalyan poleyund
63i4ZQcvpcQ,"fast ,"
63i4ZQcvpcQ,She looks exactly like actresse ‘Revathi’ what a perfect acting….. ❤
63i4ZQcvpcQ,revathy enn perulla enta avastha e song itte enne vilikarullu🤣🤣
63i4ZQcvpcQ,Vimal e ormayundo
63i4ZQcvpcQ,Jisma yum vimalum siblings ano
63i4ZQcvpcQ,Jismayude acting kandaal nammude nadi revathiye pole thonnunnu✌️
63i4ZQcvpcQ,Kidilam series
63i4ZQcvpcQ,hus waifum
63i4ZQcvpcQ,12:51 .. 🤣🤣
63i4ZQcvpcQ,Acting level vishayam 💥
63i4ZQcvpcQ,Nivin poly look
63i4ZQcvpcQ,Climax super
63i4ZQcvpcQ,Njan ningale thottaduth kandatha palarivattom pakshe mindiya thirich mindeelenki pani kittule athond nikki ninnu
63i4ZQcvpcQ,extreme level of acting of all.. all the best all team behind this.. from Muscat..
63i4ZQcvpcQ,9 3
63i4ZQcvpcQ,Edhinada 150 rupa🤣🤣
63i4ZQcvpcQ,Just wow
63i4ZQcvpcQ,Na tamil but Malayalam movie interested.. lovely short film 🎥 📽️❤️🧡💛💚💙💜🤎🖤🤍♥️💘💝💖💗💞💕💌💟
63i4ZQcvpcQ,Super 👌
63i4ZQcvpcQ,Sunny wayninte sound pole satheeshettan
63i4ZQcvpcQ,just love this pair 💕😍
63i4ZQcvpcQ,Last seen 😂🌴🥥
63i4ZQcvpcQ,Nayanthara klynm kaich kunjum indayi kainj annu ee web series kannunne 🤭
63i4ZQcvpcQ,Oru Navin poli style ..
63i4ZQcvpcQ,Njan veendum kanan vane😂😂
63i4ZQcvpcQ,"‌ , 😇🤣"
63i4ZQcvpcQ,Nayanthara kalyanam kazhinju
63i4ZQcvpcQ,my feveret singer aneesh kolancheri ❤❤ Love you (singer) ( and ) Jisma and vimal ❤❤
63i4ZQcvpcQ,Nayantharakk ttoo✨️
63i4ZQcvpcQ,Eee webseries kore thappi nadann Inna kittiye 🙄😩
63i4ZQcvpcQ,.. ..
63i4ZQcvpcQ,Ith kaanmbo chelarkangilum mansilaavatte.. 😊
63i4ZQcvpcQ,Nivinpolli de shape thannu
63i4ZQcvpcQ,😁😁 thankyou 4 this episode
63i4ZQcvpcQ,Poli short film uff😍💥
63i4ZQcvpcQ,Ambo adipoli sanam🤣🤣 so funny
63i4ZQcvpcQ,Nalla episode ✨ 12.50 🤣
63i4ZQcvpcQ,Last ore powli 😂❤
63i4ZQcvpcQ,‌ 😂
63i4ZQcvpcQ,😍😍 super
63i4ZQcvpcQ,Magnessa bussiness
63i4ZQcvpcQ,‌ full.. .. ..👌👌. .. .. .. ..
63i4ZQcvpcQ,Name of this series??
63i4ZQcvpcQ,Name of this series??
63i4ZQcvpcQ,Name of this series??
63i4ZQcvpcQ,Eniku ishdam ind oru sathish Etta. Orupad ishdam ahh enik. Ithuvare njn ente ishdam paranit polum milaa.. Ee video kannubo ❣️ sathish ettane orkund
63i4ZQcvpcQ,Revathi ne avloo azhak 😆🤏
63i4ZQcvpcQ,Gittar 🤣🤣👍
63i4ZQcvpcQ,"Diolingo ist einen echt app. Ich habe es schon benutzt,war es nutzvol. 👍"
63i4ZQcvpcQ,Nalla rasundutto🙂
63i4ZQcvpcQ,End seen vishayam
63i4ZQcvpcQ,Superb ..I love this 😍
63i4ZQcvpcQ,Superb ..I love this 😍
63i4ZQcvpcQ,Ayyo❤️❤️❤️ Shee . . Next part 🥰
63i4ZQcvpcQ,12:47 ijjathy 😂😂
63i4ZQcvpcQ,Mvie name
63i4ZQcvpcQ,Varanam aayiram scene😂
63i4ZQcvpcQ,3 part first part 🙄🙄
63i4ZQcvpcQ,Super 👍👍👌👌
63i4ZQcvpcQ,Karthi actor pole und ee nayakane kandal
63i4ZQcvpcQ,Instagramil kandu vanthanu Poli🔥
